code,name
8161,Операторы и машинисты установок электростанций и сетей
8162,"Операторы и машинисты паровых турбин, котлов и двигателей"
8163,Аппаратчики и операторы установок по обработке воды и аналогичного оборудования
817,Операторы автоматических сборочных линий и промышленных роботов
8171,Операторы автоматических сборочных линий
8172,Операторы промышленных роботов
82,"Операторы, аппаратчики, машинисты и слесари- сборщики стационарного оборудования"
821,Операторы и машинисты оборудования по обработке металлов и переработке минерального сырья
8211,Операторы станков
8212,Операторы и машинисты оборудования по производству цемента и других неорганических материалов
822,"Операторы, машинисты, аппаратчики оборудования по производству химических продуктов"
8221,"Операторы, аппаратчики и машинисты оборудования по производству фармацевтической и парфюмерной продукции"
8222,Операторы и машинисты оборудования по производству боеприпасов и взрывчатых веществ
8223,Операторы установок металлизации и нанесения защитного слоя на металл
8224,"Операторы, аппаратчики и машинисты оборудования по производству фотобумаги и пленки"
8225,"Операторы, аппаратчики и машинисты оборудования азотного производства и производства продуктов органического синтеза"
8226,"Операторы, аппаратчики и машинисты оборудования анилино-красочного производства, производства полиграфических красок и лакокрасочного производства"
8227,"Операторы, аппаратчики и машинисты оборудования по производству полимерных строительных материалов, органического стекла и стекловолокна"
8228,"Операторы, аппаратчики и машинисты оборудования по производству химических волокон, стекловолокнистых материалов, стеклопластиков и гидролизного производства"
8229,"Операторы, аппаратчики и машинисты оборудования по производству химической продукции, не вошедшие в другие группы"
